title,year,country,date
1 Navra 3 Bayka,2009,India,2009-01-01
1 beon-ga-eui gi-jeok,2007,South Korea,2007-02-15
1 by Two,2014,India,2014-04-19
1 chance sur 2,1998,France,1998-03-25
1 chance sur 2,1998,Belgium,1998-04-01
1 chance sur 2,1998,Hungary,1998-07-30
1 chance sur 2,1998,Turkey,1998-09-25
1 chance sur 2,1998,Japan,1998-10-07
1 chance sur 2,1998,Argentina,1999-01-07
1 chance sur 2,1998,Spain,1999-02-19
1 chance sur 2,1998,Slovakia,1999-04-08
1 chance sur 2,1998,Poland,1999-07-23
1 chance sur 2,1998,Kuwait,2000-09-27
1 na 1,2002,Federal Republic of Yugoslavia,2002-08-23
1 vs. 100: The Quality of Love,2018,USA,2018-01-14
"1, 2 y 3 mujeres",2008,Venezuela,2008-08-01
"1,000 Dollars a Minute",1935,USA,1935-10-22
"1,000 Dollars a Minute",1935,UK,1936-06-08
"1,000 Dollars a Minute",1935,Portugal,1937-10-18
1-2-3 Corona,1948,Germany,1948-09-17
1-2-3 Corona,1948,Sweden,1949-10-23
1-2-3 Corona,1948,Finland,1950-03-10
1-2-3-4 ou Les collants noirs,1961,Portugal,1961-05-09
1-2-3-4 ou Les collants noirs,1961,Japan,1961-06-24
1-2-3-4 ou Les collants noirs,1961,Sweden,1962-02-12
1-2-3-4 ou Les collants noirs,1961,France,1962-06-13
1-2-3-4 ou Les collants noirs,1961,Mexico,1963-04-25
1. April 2000,1952,Austria,1952-11-19
1. April 2000,1952,West Germany,1952-11-24
1. April 2000,1952,France,1953-04-24
1. April 2000,1952,Denmark,1953-09-21
1. April 2000,1952,Sweden,1953-09-21
1. April 2000,1952,Portugal,1953-11-11
1. April 2000,1952,Finland,1954-02-12
1. Mai,2008,Germany,2008-04-30
1. Mai,2008,France,2010-05-15
1/11,2014,Japan,2014-04-05
10,1979,USA,1979-10-05
10,1979,Brazil,1979-12-18
10,1979,Sweden,1979-12-25
10,1979,Australia,1980-01-17
10,1979,Denmark,1980-01-24
10,1979,Portugal,1980-01-25
10,1979,France,1980-02-14
10,1979,Ireland,1980-02-22
10,1979,Greece,1980-02-24
10,1979,Norway,1980-02-26
10,1979,Japan,1980-03-01
10,1979,Finland,1980-03-14
10,1979,Colombia,1980-04-17
10,1979,West Germany,1980-04-24
10,1979,Taiwan,1980-09-20
10,1979,Argentina,1980-11-20
10,1979,Iceland,1980-12-25
10,1979,Hungary,1983-03-17
10 + 2: El gran secreto,2001,Spain,2001-08-17
10 + 2: El gran secreto,2001,Norway,2003-10-03
10 000 timmar,2014,Sweden,2014-04-04
10 Arenas of Marwood,2011,UK,2011-12-01
10 Attitudes,2001,USA,2004-11-23
10 Cent Pistol,2014,USA,2015-07-24
10 Cloverfield Lane,2016,Australia,2016-03-10
10 Cloverfield Lane,2016,Colombia,2016-03-10
10 Cloverfield Lane,2016,Czech Republic,2016-03-10
10 Cloverfield Lane,2016,Denmark,2016-03-10
10 Cloverfield Lane,2016,Netherlands,2016-03-10
10 Cloverfield Lane,2016,New Zealand,2016-03-10
10 Cloverfield Lane,2016,Panama,2016-03-10
10 Cloverfield Lane,2016,Serbia,2016-03-10
10 Cloverfield Lane,2016,Thailand,2016-03-10
10 Cloverfield Lane,2016,Venezuela,2016-03-10
10 Cloverfield Lane,2016,Canada,2016-03-11
10 Cloverfield Lane,2016,India,2016-03-11
10 Cloverfield Lane,2016,Latvia,2016-03-11
10 Cloverfield Lane,2016,Norway,2016-03-11
10 Cloverfield Lane,2016,Romania,2016-03-11
10 Cloverfield Lane,2016,South Africa,2016-03-11
10 Cloverfield Lane,2016,USA,2016-03-11
10 Cloverfield Lane,2016,Belgium,2016-03-16
10 Cloverfield Lane,2016,France,2016-03-16
10 Cloverfield Lane,2016,Ireland,2016-03-18
10 Cloverfield Lane,2016,Spain,2016-03-18
10 Cloverfield Lane,2016,UK,2016-03-18
10 Cloverfield Lane,2016,Pakistan,2016-03-25
10 Cloverfield Lane,2016,Egypt,2016-03-30
10 Cloverfield Lane,2016,Lithuania,2016-03-30
10 Cloverfield Lane,2016,Sweden,2016-03-30
10 Cloverfield Lane,2016,Austria,2016-03-31
10 Cloverfield Lane,2016,Cambodia,2016-03-31
10 Cloverfield Lane,2016,Cyprus,2016-03-31
10 Cloverfield Lane,2016,Germany,2016-03-31
10 Cloverfield Lane,2016,Greece,2016-03-31
10 Cloverfield Lane,2016,Israel,2016-03-31
10 Cloverfield Lane,2016,Kuwait,2016-03-31
10 Cloverfield Lane,2016,Lebanon,2016-03-31
10 Cloverfield Lane,2016,Republic of Macedonia,2016-03-31
10 Cloverfield Lane,2016,Russia,2016-03-31
10 Cloverfield Lane,2016,Slovenia,2016-03-31
10 Cloverfield Lane,2016,United Arab Emirates,2016-03-31
10 Cloverfield Lane,2016,Taiwan,2016-04-01
10 Cloverfield Lane,2016,Turkey,2016-04-01
10 Cloverfield Lane,2016,Indonesia,2016-04-06
10 Cloverfield Lane,2016,Philippines,2016-04-06
10 Cloverfield Lane,2016,South Korea,2016-04-06
10 Cloverfield Lane,2016,Azerbaijan,2016-04-07
10 Cloverfield Lane,2016,Belarus,2016-04-07
10 Cloverfield Lane,2016,Brazil,2016-04-07
10 Cloverfield Lane,2016,Croatia,2016-04-07
10 Cloverfield Lane,2016,Kazakhstan,2016-04-07
10 Cloverfield Lane,2016,Malaysia,2016-04-07
10 Cloverfield Lane,2016,Portugal,2016-04-07
10 Cloverfield Lane,2016,Singapore,2016-04-07
10 Cloverfield Lane,2016,Ukraine,2016-04-07
10 Cloverfield Lane,2016,Estonia,2016-04-08
10 Cloverfield Lane,2016,Argentina,2016-04-14
10 Cloverfield Lane,2016,Chile,2016-04-14
10 Cloverfield Lane,2016,Hong Kong,2016-04-14
10 Cloverfield Lane,2016,Hungary,2016-04-14
10 Cloverfield Lane,2016,Peru,2016-04-14
10 Cloverfield Lane,2016,Uruguay,2016-04-14
10 Cloverfield Lane,2016,Mexico,2016-04-15
10 Cloverfield Lane,2016,Vietnam,2016-04-15
10 Cloverfield Lane,2016,Poland,2016-04-22
10 Cloverfield Lane,2016,Italy,2016-04-28
10 Cloverfield Lane,2016,Japan,2016-06-17
10 Days in a Madhouse,2015,USA,2015-11-11
10 Endrathukulla,2015,France,2015-10-21
10 Endrathukulla,2015,India,2015-10-21
10 Endrathukulla,2015,Kuwait,2015-10-22
10 Endrathukulla,2015,Australia,2015-10-23
10 Endrathukulla,2015,Malaysia,2015-10-23
10 Endrathukulla,2015,New Zealand,2015-10-23
10 Endrathukulla,2015,UK,2015-10-23
10 Endrathukulla,2015,USA,2015-10-23
10 Items or Less,2006,Israel,2007-02-08
10 Items or Less,2006,Spain,2007-04-27
10 Items or Less,2006,Portugal,2007-05-31
10 Items or Less,2006,Russia,2007-07-26
10 Items or Less,2006,Mexico,2007-10-05
10 Items or Less,2006,Italy,2008-04-18
10 Items or Less,2006,South Korea,2013-06-13
10 Kalpanakal,2016,India,2016-11-25
10 Kalpanakal,2016,Kuwait,2016-12-22
10 Kalpanakal,2016,United Arab Emirates,2016-12-22
10 Minutes (II),2013,South Korea,2014-04-24
10 Rillington Place,1971,UK,1971-01-29
10 Rillington Place,1971,West Germany,1971-03-05
10 Rillington Place,1971,Italy,1971-04-24
10 Rillington Place,1971,Sweden,1971-06-28
10 Rillington Place,1971,Ireland,1971-07-23
10 Rillington Place,1971,Finland,1971-08-27
10 Rillington Place,1971,Denmark,1971-09-15
10 Rillington Place,1971,France,1971-10-13
10 Rillington Place,1971,Spain,1973-11-20
10 Rules for Sleeping Around,2013,USA,2014-04-04
10 Sekunden,2008,Germany,2008-10-02
10 Things I Hate About You,1999,USA,1999-03-31
10 Things I Hate About You,1999,New Zealand,1999-06-03
10 Things I Hate About You,1999,Australia,1999-06-24
10 Things I Hate About You,1999,Israel,1999-07-01
10 Things I Hate About You,1999,Poland,1999-07-02
10 Things I Hate About You,1999,Iceland,1999-07-09
10 Things I Hate About You,1999,Ireland,1999-07-09
10 Things I Hate About You,1999,UK,1999-07-09
10 Things I Hate About You,1999,Hungary,1999-07-15
10 Things I Hate About You,1999,Denmark,1999-07-23
10 Things I Hate About You,1999,Norway,1999-07-23
10 Things I Hate About You,1999,Spain,1999-07-23
10 Things I Hate About You,1999,Singapore,1999-07-29
10 Things I Hate About You,1999,Finland,1999-07-30
10 Things I Hate About You,1999,Slovakia,1999-08-05
10 Things I Hate About You,1999,Brazil,1999-08-06
10 Things I Hate About You,1999,Sweden,1999-08-06
10 Things I Hate About You,1999,Netherlands,1999-08-12
10 Things I Hate About You,1999,Argentina,1999-08-19
10 Things I Hate About You,1999,Italy,1999-08-27
10 Things I Hate About You,1999,Malaysia,1999-08-27
10 Things I Hate About You,1999,Czech Republic,1999-09-02
10 Things I Hate About You,1999,Estonia,1999-09-03
10 Things I Hate About You,1999,Portugal,1999-09-03
10 Things I Hate About You,1999,Turkey,1999-09-10
10 Things I Hate About You,1999,Germany,1999-10-21
10 Things I Hate About You,1999,Mexico,1999-11-19
10 Things I Hate About You,1999,France,2000-07-19
10 Years,2011,USA,2012-10-05
10 Years,2011,Russia,2012-12-13
10 Years,2011,Ukraine,2012-12-13
10 Years,2011,Singapore,2013-01-17
10 Years,2011,Hungary,2015-11-26
10 Years,2011,Greece,2016-09-15
10 Years Later,2010,USA,2010-03-26
10 dni neplateni,1972,Bulgaria,1972-06-16
10 dni neplateni,1972,East Germany,1973-03-30
10 jours en or,2012,France,2012-01-11
10 pravidel jak sbalit holku,2014,Czech Republic,2014-03-20
10 pravidel jak sbalit holku,2014,Slovakia,2014-03-20
10 regole per fare innamorare,2012,Italy,2012-03-16
10 regole per fare innamorare,2012,Turkey,2013-07-26
10 to Midnight,1983,Canada,1983-03-11
10 to Midnight,1983,USA,1983-03-11
10 to Midnight,1983,UK,1983-04-28
10 to Midnight,1983,Netherlands,1983-05-11
10 to Midnight,1983,Australia,1983-06-09
10 to Midnight,1983,Argentina,1983-06-16
10 to Midnight,1983,Denmark,1983-07-04
10 to Midnight,1983,France,1983-07-13
10 to Midnight,1983,Portugal,1983-07-15
10 to Midnight,1983,Ireland,1983-07-29
10 to Midnight,1983,West Germany,1983-08-26
10 to Midnight,1983,Sweden,1983-09-02
10 to Midnight,1983,Finland,1983-12-02
10 to Midnight,1983,Norway,1983-12-02
"10,000 BC",2008,Philippines,2008-03-05
"10,000 BC",2008,Argentina,2008-03-06
"10,000 BC",2008,Australia,2008-03-06
"10,000 BC",2008,Austria,2008-03-06
"10,000 BC",2008,Chile,2008-03-06
"10,000 BC",2008,Germany,2008-03-06
"10,000 BC",2008,Hong Kong,2008-03-06
"10,000 BC",2008,Indonesia,2008-03-06
"10,000 BC",2008,Malaysia,2008-03-06
"10,000 BC",2008,New Zealand,2008-03-06
"10,000 BC",2008,Singapore,2008-03-06
"10,000 BC",2008,Thailand,2008-03-06
"10,000 BC",2008,Brazil,2008-03-07
"10,000 BC",2008,Canada,2008-03-07
"10,000 BC",2008,India,2008-03-07
"10,000 BC",2008,Mexico,2008-03-07
"10,000 BC",2008,Spain,2008-03-07
"10,000 BC",2008,Turkey,2008-03-07
"10,000 BC",2008,USA,2008-03-07
"10,000 BC",2008,Belgium,2008-03-12
"10,000 BC",2008,France,2008-03-12
"10,000 BC",2008,Croatia,2008-03-13
"10,000 BC",2008,Czech Republic,2008-03-13
"10,000 BC",2008,Greece,2008-03-13
"10,000 BC",2008,Hungary,2008-03-13
"10,000 BC",2008,Israel,2008-03-13
"10,000 BC",2008,Kuwait,2008-03-13
"10,000 BC",2008,Netherlands,2008-03-13
"10,000 BC",2008,Portugal,2008-03-13
"10,000 BC",2008,Russia,2008-03-13
"10,000 BC",2008,Slovakia,2008-03-13
"10,000 BC",2008,South Korea,2008-03-13
"10,000 BC",2008,Bulgaria,2008-03-14
"10,000 BC",2008,Colombia,2008-03-14
"10,000 BC",2008,Denmark,2008-03-14
"10,000 BC",2008,Finland,2008-03-14
"10,000 BC",2008,Iceland,2008-03-14
"10,000 BC",2008,Ireland,2008-03-14
"10,000 BC",2008,Italy,2008-03-14
"10,000 BC",2008,Norway,2008-03-14
"10,000 BC",2008,Panama,2008-03-14
"10,000 BC",2008,Poland,2008-03-14
"10,000 BC",2008,Sweden,2008-03-14
"10,000 BC",2008,UK,2008-03-14
"10,000 BC",2008,Egypt,2008-03-19
"10,000 BC",2008,Uruguay,2008-03-19
"10,000 BC",2008,Serbia,2008-03-20
"10,000 BC",2008,Ukraine,2008-03-20
"10,000 BC",2008,China,2008-03-21
"10,000 BC",2008,Estonia,2008-03-21
"10,000 BC",2008,Japan,2008-04-26
"10,000 Days",2014,USA,2014-11-23
"10,000 Miles",2016,Singapore,2016-12-16
"10,000 Miles",2016,Hong Kong,2017-01-12
"10,000 Saints",2015,USA,2015-08-14
"10,000 Saints",2015,South Korea,2016-04-27
"10,000 dollari per un massacro",1967,Italy,1967-03-03
"10,000 dollari per un massacro",1967,France,1968-02-21
"10,000 dollari per un massacro",1967,Netherlands,1968-03-07
"10,000 dollari per un massacro",1967,West Germany,1968-03-08
"10,000 dollari per un massacro",1967,Denmark,1968-04-24
"10,000 dollari per un massacro",1967,Ireland,1968-07-12
10-eok,2009,South Korea,2009-08-06
10.0 Earthquake,2014,USA,2014-10-15
10.000 Km,2014,Spain,2014-05-16
10.000 Km,2014,Poland,2014-08-22
10.000 Km,2014,Greece,2014-12-18
10.000 Km,2014,Hong Kong,2015-01-08
10.000 Km,2014,France,2015-04-29
10.000 Km,2014,Sweden,2015-05-29
10.000 Km,2014,USA,2015-07-10
10.000 Km,2014,South Korea,2015-07-16
10.000 Km,2014,Hungary,2015-09-03
10.32,1966,Netherlands,1966-01-27
100,1973,Romania,1973-11-05
100,2008,Philippines,2008-12-03
100 Bloody Acres,2012,Australia,2013-08-01
100 Bloody Acres,2012,UK,2013-10-11
100 Bloody Acres,2012,Japan,2014-10-25
100 Days,2001,USA,2001-02-01
"100 Days in September, Bayang Magiting",1986,Philippines,1986-07-23
100 Days of Love,2015,India,2015-03-20
100 Days of Love,2015,Kuwait,2015-03-26
100 Degree Celsius,2014,India,2014-10-10
100 Feet,2008,South Korea,2008-07-24
100 Feet,2008,Philippines,2008-09-17
100 Feet,2008,Taiwan,2009-02-06
100 Feet,2008,Russia,2009-05-28
100 Feet,2008,Ukraine,2009-05-28
100 Feet,2008,Kazakhstan,2009-06-17
100 Feet,2008,Mexico,2009-11-13
100 Feet,2008,Peru,2010-06-10
100 Feet,2008,Venezuela,2011-02-18
100 Girls,2000,Italy,2000-09-01
100 Girls,2000,Brazil,2000-09-07
100 Girls,2000,Singapore,2000-10-19
100 Girls,2000,France,2001-07-04
100 Girls,2000,Israel,2001-07-26
100 Girls,2000,Slovenia,2001-08-23
100 Girls,2000,Peru,2002-08-29
100 Girls,2000,Mexico,2002-09-13
100 Girls,2000,Norway,2002-11-23
100 Meter Leeuloop,2013,South Africa,2013-03-15
100 Miles from Hell,2014,Canada,2014-01-10
100 Pro,2001,Germany,2001-10-04
100 Proof,1997,USA,1997-09-26
100 Rifles,1969,USA,1969-03-26
100 Rifles,1969,Sweden,1969-03-28
100 Rifles,1969,West Germany,1969-04-05
100 Rifles,1969,Japan,1969-04-19
100 Rifles,1969,Finland,1969-04-25
100 Rifles,1969,Denmark,1969-04-28
100 Rifles,1969,Norway,1969-05-12
100 Rifles,1969,France,1969-05-14
100 Rifles,1969,Ireland,1969-06-20
100 Rifles,1969,Spain,1969-07-17
100 Sexiest Videos of All Time,2011,USA,2011-06-06
100 Streets,2016,UK,2016-11-11
100 Streets,2016,USA,2017-01-13
100 dragspel och en flicka,1946,Sweden,1946-02-23
100 dragspel och en flicka,1946,Finland,1948-07-30
100 dragspel och en flicka,1946,Denmark,1950-11-17
100 gramm dlya khrabrosti,1977,Soviet Union,1977-05-23
100 gramm dlya khrabrosti,1977,Poland,1977-08-01
100 gramm dlya khrabrosti,1977,Hungary,1981-01-06
100 metri dal paradiso,2012,Italy,2012-05-11
100 metros,2016,Portugal,2016-11-03
100 metros,2016,Spain,2016-11-04
100 tona shtastie,1978,Bulgaria,1978-02-20
100% Arabica,1997,France,1997-11-05
100% Arabica,1997,Belgium,1998-05-13
100% Coco,2017,Netherlands,2017-07-13
100% Kiss,2012,China,2012-01-01
100% Love,2011,Kuwait,2011-05-05
100% Love,2011,Australia,2011-05-06
100% Love,2011,India,2011-05-06
100% Love,2011,Malaysia,2011-05-06
100% Love,2011,UK,2011-05-06
100% Love,2011,USA,2011-05-06
100% Love,2011,Canada,2011-05-13
100% Love,2011,Qatar,2011-05-13
100% Love,2011,Singapore,2011-05-13
100% Love,2011,Oman,2011-05-22
100% Love,2011,Bahrain,2011-05-28
100% OFF: A Recession-Era Romance,2012,USA,2012-07-04
100% cachemire,2013,Belgium,2013-12-11
100% cachemire,2013,France,2013-12-11
100% cachemire,2013,Portugal,2014-04-24
100% cachemire,2013,Spain,2014-07-18
100% cachemire,2013,Serbia,2014-09-18
"100% lucha, el amo de los clones",2009,Argentina,2009-07-16
100-kai nakukoto,2013,Japan,2013-06-22
100-kai nakukoto,2013,Taiwan,2014-01-03
100.000 dollari per Lassiter,1966,Italy,1966-03-10
100.000 dollari per Lassiter,1966,West Germany,1966-08-26
100.000 dollari per Lassiter,1966,Spain,1966-09-12
100.000 dollari per Lassiter,1966,France,1969-03-05
100.000 dollari per Ringo,1965,Italy,1965-11-18
100.000 dollari per Ringo,1965,West Germany,1966-10-21
100.000 dollari per Ringo,1965,Turkey,1966-11-07
100.000 dollari per Ringo,1965,Denmark,1967-06-26
100.000 dollari per Ringo,1965,Uruguay,1967-10-02
100.000 dollari per Ringo,1965,Portugal,1967-10-19
100.000 dollari per Ringo,1965,Norway,1968-06-10
100.000 dollars au soleil,1964,France,1964-04-17
100.000 dollars au soleil,1964,Italy,1964-08-12
100.000 dollars au soleil,1964,West Germany,1964-09-04
100.000 dollars au soleil,1964,Denmark,1964-09-14
100.000 dollars au soleil,1964,Portugal,1964-10-09
100.000 dollars au soleil,1964,Japan,1964-11-14
100.000 dollars au soleil,1964,Sweden,1964-11-16
100.000 dollars au soleil,1964,Finland,1964-11-20
100.000 dollars au soleil,1964,Mexico,1966-04-07
100.000 dollars au soleil,1964,Turkey,1968-12-09
1000 Boomerangs,1995,Argentina,1995-08-17
1000 Rosen,1994,Netherlands,1994-09-29
1000 Worte deutsch,1930,Germany,1930-12-05
1000 Worte deutsch,1930,Denmark,1931-02-07
1000 Worte deutsch,1930,Bulgaria,1931-02-23
1000 Worte deutsch,1930,Portugal,1933-03-22
1000 dollari sul nero,1966,Italy,1966-12-18
1000 dollari sul nero,1966,West Germany,1967-07-28
1000 dollari sul nero,1966,Argentina,1968-10-09
1000 dollari sul nero,1966,Turkey,1969-02-10
1000 dollari sul nero,1966,France,1970-07-01
10000 malchikov,1962,Soviet Union,1962-03-24
10000 malchikov,1962,East Germany,1963-05-31
1000: Oru Note Paranja Katha,2015,India,2015-02-13
1001 Arabian Nights,1959,USA,1959-12-01
1001 Arabian Nights,1959,Brazil,1960-01-14
1001 Arabian Nights,1959,Sweden,1960-02-27
1001 Arabian Nights,1959,Finland,1960-03-25
1001 Arabian Nights,1959,Mexico,1961-05-25
1001 Arabian Nights,1959,Denmark,1961-10-16
1001 Arabian Nights,1959,South Korea,1962-01-03
1001 Gram,2014,Norway,2014-09-26
1001 Gram,2014,Germany,2014-12-18
1001 Gram,2014,Israel,2015-02-19
1001 Gram,2014,France,2015-03-11
1001 Gram,2014,Greece,2015-04-30
1001 Gram,2014,Estonia,2015-06-05
1001 Gram,2014,Sweden,2015-06-05
1001 Gram,2014,Denmark,2015-07-16
1001 Gram,2014,Hungary,2015-08-13
1001 Gram,2014,Poland,2015-08-28
1001 Gram,2014,Japan,2015-10-31
1001 Gram,2014,Italy,2016-08-11
100Volta,2009,Portugal,2009-03-19
101 Dalmatians,1996,USA,1996-11-27
101 Dalmatians,1996,Singapore,1996-11-28
101 Dalmatians,1996,Thailand,1996-11-30
101 Dalmatians,1996,Argentina,1996-12-05
101 Dalmatians,1996,Australia,1996-12-05
101 Dalmatians,1996,Ireland,1996-12-13
101 Dalmatians,1996,UK,1996-12-13
101 Dalmatians,1996,Brazil,1996-12-14
101 Dalmatians,1996,Brazil,1996-12-21
101 Dalmatians,1996,South Korea,1996-12-21
101 Dalmatians,1996,Taiwan,1997-01-25
101 Dalmatians,1996,Sweden,1997-02-07
101 Dalmatians,1996,Netherlands,1997-02-20
101 Dalmatians,1996,Spain,1997-02-21
101 Dalmatians,1996,Germany,1997-03-06
101 Dalmatians,1996,Poland,1997-03-07
101 Dalmatians,1996,Japan,1997-03-08
101 Dalmatians,1996,Denmark,1997-03-14
101 Dalmatians,1996,Greece,1997-03-14
101 Dalmatians,1996,Italy,1997-03-14
101 Dalmatians,1996,Hungary,1997-03-20
101 Dalmatians,1996,Estonia,1997-03-21
101 Dalmatians,1996,Finland,1997-03-21
101 Dalmatians,1996,Portugal,1997-03-21
101 Dalmatians,1996,South Africa,1997-03-21
101 Dalmatians,1996,Belgium,1997-03-26
101 Dalmatians,1996,France,1997-03-26
101 Dalmatians,1996,Iceland,1997-03-26
101 Dalmatians,1996,Turkey,1997-04-18
101 Ratein,1990,India,1990-01-01
101 Weddings,2012,Kuwait,2012-11-29
101 ci qiu hun,2013,China,2013-02-12
101 ci qiu hun,2013,Hong Kong,2013-03-21
101 ci qiu hun,2013,Taiwan,2013-03-22
101 ci qiu hun,2013,Japan,2013-10-19
1010,2014,Australia,2014-12-10
101byeonjae propose,1993,South Korea,1993-06-19
102 Dalmatians,2000,USA,2000-11-22
102 Dalmatians,2000,Singapore,2000-11-23
102 Dalmatians,2000,Brazil,2000-12-01
102 Dalmatians,2000,Venezuela,2000-12-06
102 Dalmatians,2000,Argentina,2000-12-07
102 Dalmatians,2000,Chile,2000-12-07
102 Dalmatians,2000,Ireland,2000-12-08
102 Dalmatians,2000,UK,2000-12-08
102 Dalmatians,2000,Peru,2000-12-14
102 Dalmatians,2000,Colombia,2000-12-15
102 Dalmatians,2000,Mexico,2000-12-15
102 Dalmatians,2000,Bolivia,2000-12-21
102 Dalmatians,2000,Malaysia,2000-12-21
102 Dalmatians,2000,Ecuador,2000-12-22
102 Dalmatians,2000,Finland,2000-12-22
102 Dalmatians,2000,Panama,2000-12-22
102 Dalmatians,2000,Paraguay,2000-12-22
102 Dalmatians,2000,South Korea,2000-12-23
102 Dalmatians,2000,Sweden,2000-12-25
102 Dalmatians,2000,Australia,2000-12-26
102 Dalmatians,2000,New Zealand,2000-12-26
102 Dalmatians,2000,Italy,2001-01-19
102 Dalmatians,2000,Poland,2001-01-19
102 Dalmatians,2000,Hong Kong,2001-01-24
102 Dalmatians,2000,Taiwan,2001-01-24
102 Dalmatians,2000,France,2001-01-31
102 Dalmatians,2000,Bulgaria,2001-02-02
102 Dalmatians,2000,Belgium,2001-02-07
102 Dalmatians,2000,Germany,2001-02-08
102 Dalmatians,2000,Iceland,2001-02-09
102 Dalmatians,2000,Spain,2001-02-09
102 Dalmatians,2000,Czech Republic,2001-02-15
102 Dalmatians,2000,Hungary,2001-02-15
102 Dalmatians,2000,Netherlands,2001-02-22
102 Dalmatians,2000,Greece,2001-02-23
102 Dalmatians,2000,Japan,2001-03-10
102 Dalmatians,2000,Estonia,2001-03-16
102 Dalmatians,2000,Lithuania,2001-03-16
102 Dalmatians,2000,Israel,2001-03-29
102 Dalmatians,2000,Slovenia,2001-04-12
102 Dalmatians,2000,Kuwait,2001-04-18
102 Dalmatians,2000,Egypt,2001-05-23
102 Dalmatians,2000,Turkey,2001-09-07
102 piit krungthep plon,2004,Thailand,2004-04-29
105 % alibi,1959,Czechoslovakia,1959-11-20
